state_id,probe_action,successor_valid,successor_s,successor_v,successor_mode,lane_change_elapsed
c1_lead_opt_02,U5,1,5.0,4.0,1,1.0
c1_lead_opt_02,U6,1,6.0,6.0,1,1.0
c1_lead_opt_02,U7,1,6.75,7.5,1,1.0
c1_lead_opt_03,U0,1,5.0,3.0,0,0.0
c1_lead_opt_03,U1,1,6.0,5.0,0,0.0
c1_lead_opt_03,U2,1,7.0,7.0,0,0.0
c1_lead_opt_03,U3,1,7.75,8.5,0,0.0
c1_lead_opt_03,U4,1,5.0,3.0,1,1.0
c1_lead_opt_03,U5,1,6.0,5.0,1,1.0
c1_lead_opt_03,U6,1,7.0,7.0,1,1.0
c1_lead_opt_03,U7,1,7.75,8.5,1,1.0
c1_lead_opt_04,U0,1,5.0,3.0,0,0.0
c1_lead_opt_04,U1,1,6.0,5.0,0,0.0
c1_lead_opt_04,U2,1,7.0,7.0,0,0.0
c1_lead_opt_04,U3,1,7.75,8.5,0,0.0
c1_lead_opt_04,U4,1,5.0,3.0,1,1.0
c1_lead_opt_04,U5,1,6.0,5.0,1,1.0
c1_lead_opt_04,U6,1,7.0,7.0,1,1.0
c1_lead_opt_04,U7,1,7.75,8.5,1,1.0
c1_lead_opt_05,U0,1,6.0,4.0,0,0.0
c1_lead_opt_05,U1,1,7.0,6.0,0,0.0
c1_lead_opt_05,U2,1,8.0,8.0,0,0.0
c1_lead_opt_05,U3,1,8.75,9.5,0,0.0
c1_lead_opt_05,U4,1,6.0,4.0,1,1.0
c1_lead_opt_05,U5,1,7.0,6.0,1,1.0
c1_lead_opt_05,U6,1,8.0,8.0,1,1.0
c1_lead_opt_05,U7,1,8.75,9.5,1,1.0
c1_lead_opt_06,U0,1,6.0,4.0,0,0.0
c1_lead_opt_06,U1,1,7.0,6.0,0,0.0
c1_lead_opt_06,U2,1,8.0,8.0,0,0.0
c1_lead_opt_06,U3,1,8.75,9.5,0,0.0
c1_lead_opt_06,U4,1,6.0,4.0,1,1.0
c1_lead_opt_06,U5,1,7.0,6.0,1,1.0
c1_lead_opt_06,U6,1,8.0,8.0,1,1.0
c1_lead_opt_06,U7,1,8.75,9.5,1,1.0
c1_lead_opt_07,U0,1,7.0,5.0,0,0.0
c1_lead_opt_07,U1,1,8.0,7.0,0,0.0
c1_lead_opt_07,U2,1,9.0,9.0,0,0.0
c1_lead_opt_07,U3,1,9.75,10.5,0,0.0
c1_lead_opt_07,U4,1,7.0,5.0,1,1.0
c1_lead_opt_07,U5,1,8.0,7.0,1,1.0
c1_lead_opt_07,U6,1,9.0,9.0,1,1.0
c1_lead_opt_07,U7,1,9.75,10.5,1,1.0
c1_lead_opt_08,U0,1,7.0,5.0,0,0.0
c1_lead_opt_08,U1,1,8.0,7.0,0,0.0
c1_lead_opt_08,U2,1,9.0,9.0,0,0.0
c1_lead_opt_08,U3,1,9.75,10.5,0,0.0
c1_lead_opt_08,U4,1,7.0,5.0,1,1.0
c1_lead_opt_08,U5,1,8.0,7.0,1,1.0
c1_lead_opt_08,U6,1,9.0,9.0,1,1.0
c1_lead_opt_08,U7,1,9.75,10.5,1,1.0
c1_temp_opt_01,U0,1,4.0,2.0,0,0.0
c1_temp_opt_01,U1,1,5.0,4.0,0,0.0
c1_temp_opt_01,U2,1,6.0,6.0,0,0.0
c1_temp_opt_01,U3,1,6.75,7.5,0,0.0
c1_temp_opt_01,U4,1,4.0,2.0,1,1.0
c1_temp_opt_01,U5,1,5.0,4.0,1,1.0
c1_temp_opt_01,U6,1,6.0,6.0,1,1.0
c1_temp_opt_01,U7,1,6.75,7.5,1,1.0
c1_temp_opt_02,U0,1,4.0,2.0,0,0.0
c1_temp_opt_02,U1,1,5.0,4.0,0,0.0
c1_temp_opt_02,U2,1,6.0,6.0,0,0.0
c1_temp_opt_02,U3,1,6.75,7.5,0,0.0
c1_temp_opt_02,U4,1,4.0,2.0,1,1.0
c1_temp_opt_02,U5,1,5.0,4.0,1,1.0
c1_temp_opt_02,U6,1,6.0,6.0,1,1.0
c1_temp_opt_02,U7,1,6.75,7.5,1,1.0
c1_temp_opt_03,U0,1,4.0,2.0,0,0.0
c1_temp_opt_03,U1,1,5.0,4.0,0,0.0
c1_temp_opt_03,U2,1,6.0,6.0,0,0.0
c1_temp_opt_03,U3,1,6.75,7.5,0,0.0
c1_temp_opt_03,U4,1,4.0,2.0,1,1.0
c1_temp_opt_03,U5,1,5.0,4.0,1,1.0
c1_temp_opt_03,U6,1,6.0,6.0,1,1.0
c1_temp_opt_03,U7,1,6.75,7.5,1,1.0
c1_temp_opt_04,U0,1,5.0,3.0,0,0.0
c1_temp_opt_04,U1,1,6.0,5.0,0,0.0
c1_temp_opt_04,U2,1,7.0,7.0,0,0.0
c1_temp_opt_04,U3,1,7.75,8.5,0,0.0
c1_temp_opt_04,U4,1,5.0,3.0,1,1.0
c1_temp_opt_04,U5,1,6.0,5.0,1,1.0
c1_temp_opt_04,U6,1,7.0,7.0,1,1.0
c1_temp_opt_04,U7,1,7.75,8.5,1,1.0
c1_temp_opt_05,U0,1,5.0,3.0,0,0.0
c1_temp_opt_05,U1,1,6.0,5.0,0,0.0
c1_temp_opt_05,U2,1,7.0,7.0,0,0.0
c1_temp_opt_05,U3,1,7.75,8.5,0,0.0
c1_temp_opt_05,U4,1,5.0,3.0,1,1.0
c1_temp_opt_05,U5,1,6.0,5.0,1,1.0
c1_temp_opt_05,U6,1,7.0,7.0,1,1.0
c1_temp_opt_05,U7,1,7.75,8.5,1,1.0
c1_temp_opt_06,U0,1,6.0,4.0,0,0.0
c1_temp_opt_06,U1,1,7.0,6.0,0,0.0
c1_temp_opt_06,U2,1,8.0,8.0,0,0.0
c1_temp_opt_06,U3,1,8.75,9.5,0,0.0
c1_temp_opt_06,U4,1,6.0,4.0,1,1.0
c1_temp_opt_06,U5,1,7.0,6.0,1,1.0
c1_temp_opt_06,U6,1,8.0,8.0,1,1.0
c1_temp_opt_06,U7,1,8.75,9.5,1,1.0
c1_temp_opt_07,U0,1,6.0,4.0,0,0.0
c1_temp_opt_07,U1,1,7.0,6.0,0,0.0
c1_temp_opt_07,U2,1,8.0,8.0,0,0.0
c1_temp_opt_07,U3,1,8.75,9.5,0,0.0
c1_temp_opt_07,U4,1,6.0,4.0,1,1.0
c1_temp_opt_07,U5,1,7.0,6.0,1,1.0
c1_temp_opt_07,U6,1,8.0,8.0,1,1.0
c1_temp_opt_07,U7,1,8.75,9.5,1,1.0
c1_temp_opt_08,U0,1,7.0,5.0,0,0.0
c1_temp_opt_08,U1,1,8.0,7.0,0,0.0
c1_temp_opt_08,U2,1,9.0,9.0,0,0.0
c1_temp_opt_08,U3,1,9.75,10.5,0,0.0
c1_temp_opt_08,U4,1,7.0,5.0,1,1.0
c1_temp_opt_08,U5,1,8.0,7.0,1,1.0
c1_temp_opt_08,U6,1,9.0,9.0,1,1.0
c1_temp_opt_08,U7,1,9.75,10.5,1,1.0
